Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
shamil abdurakhimov,6.25,235,76,38,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,0.8,25
daichi abe,5.92,170,71,27,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,0.75,8
papy abedi,5.92,185,74,41,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,0.75,12
ricardo abreu,5.92,185,73,35,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,0.62,8
klidson abreu,6.0,205,74,26,1.97,0.39,1.93,0.59,0.5,0.12,0.75,0.0,0.83,18
juan adams,6.42,265,80,27,7.32,0.55,4.0,0.34,0.97,0.66,0.57,0.0,0.71,7
anthony adams,6.0,185,77,31,3.4,0.47,5.6,0.44,0.0,0.0,0.0,0.0,0.88,8
israel adesanya,6.33,185,80,30,4.46,0.5,2.6,0.66,0.0,0.0,0.85,0.4,1.0,18
jessica aguilar,5.25,115,63,37,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,0.71,28
kevin aguilar,5.58,145,73,31,3.78,0.36,4.22,0.54,0.25,0.5,0.86,0.0,0.89,19
omari akhmedov,6.0,185,73,32,2.91,0.34,2.69,0.59,2.45,0.5,0.58,0.2,0.79,24
yoshihiro akiyama,5.83,170,73,44,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,0.7,20
rostem akman,5.83,170,72,27,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,0.75,8
mostapha al-turk,6.17,245,77,46,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,0.5,12
herdem alacabek,6.17,205,75,28,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,0.83,6
heili alateng,5.42,135,66,27,2.4,0.4,5.67,0.63,3.0,0.42,1.0,0.0,0.62,21
john albert,5.67,135,68,33,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,0.58,12
junior albini,6.25,264,74,28,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,0.7,20
alexandra albu,5.17,115,63,29,5.13,0.5,4.92,0.41,3.05,0.55,0.75,0.6,0.88,8
iuri alcantara,5.75,135,71,39,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0.78,45
ildemar alcantara,6.17,185,78,36,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,0.72,29
irene aldana,5.75,135,68,31,6.2,0.39,6.01,0.62,0.29,0.5,0.93,0.1,0.69,16
hector aldana,5.92,170,72,31,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,0.5,8
jose aldo,5.58,145,70,33,3.45,0.44,3.14,0.65,0.67,0.65,0.92,0.2,0.85,33
jj aldrich,5.42,125,67,27,3.88,0.4,4.11,0.61,0.36,0.25,0.53,0.0,0.73,11
jim alers,5.75,145,71,33,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,0.81,16
john alessio,5.83,155,72,40,1.87,0.35,2.46,0.57,1.78,0.36,0.72,1.0,0.68,50
houston alexander,6.0,205,72,47,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,0.59,22
marcio alexandre junior,6.0,185,75,30,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,0.81,21
bill algeo,6.0,145,73,30,9.8,0.53,7.47,0.36,0.0,0.0,0.62,0.0,0.8,15
sultan aliev,5.92,170,74,35,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,0.83,18
john allan,6.25,205,75,26,3.59,0.48,4.39,0.51,2.54,0.66,0.57,1.9,0.72,18
arnold allen,5.67,145,70,25,3.01,0.39,1.78,0.66,1.6,0.56,0.7,0.5,0.94,16
brendan allen,6.17,185,75,23,2.0,0.53,3.58,0.31,3.74,0.42,0.66,6.2,0.81,16
benny alloway,5.92,170,75,38,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,0.68,19
ricardo almeida,6.0,170,74,42,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,0.72,18
thomas almeida,5.58,135,70,28,5.66,0.45,4.65,0.64,0.0,0.0,0.75,0.0,0.88,25
ericka almeida,5.5,115,68,30,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,0.78,9
eddie alvarez,5.75,155,69,35,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,0.83,35
jaime alvarez,5.67,125,69,31,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,0.86,7
joel alvarez,6.25,155,77,25,2.55,0.33,3.44,0.54,0.0,0.0,0.0,0.0,0.89,18
thiago alves,5.75,170,70,36,3.72,0.41,3.37,0.62,0.71,0.6,0.62,0.3,0.67,42
warlley alves,5.92,170,72,28,3.16,0.46,3.75,0.51,1.06,0.44,0.8,0.8,0.82,17
sam alvey,6.17,205,75,33,3.05,0.44,3.2,0.55,0.09,0.16,0.82,0.1,0.72,46
adlan amagov,6.17,170,76,32,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,0.81,16
alen amedovski,5.83,185,74,31,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,0.8,10
makwan amirkhani,5.83,145,72,30,1.62,0.47,1.62,0.61,3.47,0.48,0.57,1.6,0.83,18
eryk anders,6.08,205,75,32,3.06,0.45,4.15,0.52,1.51,0.4,0.76,0.1,0.76,17
corey anderson,6.25,205,79,30,4.37,0.46,2.2,0.59,4.96,0.5,0.83,0.0,0.76,17
megan anderson,6.0,145,72,29,1.8,0.46,3.17,0.34,0.64,0.5,0.5,0.6,0.71,14
jessica andrade,5.08,115,62,28,6.55,0.51,5.28,0.51,3.21,0.58,0.76,0.5,0.74,27
viscardi andrade,5.92,170,75,35,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,0.73,26
dylan andrews,6.08,185,73,39,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,0.69,26
magomed ankalaev,6.25,205,75,27,3.05,0.53,1.33,0.67,0.45,0.33,0.83,0.0,0.92,12
nina ansaroff,5.42,115,64,33,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,0.62,16
gadzhimurad antigulov,5.92,205,70,32,2.32,0.51,5.92,0.21,8.7,0.41,0.0,3.5,0.77,26
adam antolin,5.42,125,63,37,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,0.8,15
zu anyanwu,6.08,251,77,38,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,0.74,19
shinsho anzai,5.58,170,70,33,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,0.77,13
josh appelt,5.83,255,73,36,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,0.71,21
felipe arantes,5.67,135,73,31,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,0.62,29
igor araujo,6.08,170,77,38,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,0.76,33
viviane araujo,5.33,125,68,32,4.96,0.48,4.42,0.58,2.91,1.0,1.0,0.0,0.89,9
julio arce,5.58,145,70,29,4.76,0.38,2.68,0.69,0.48,0.28,0.93,0.7,0.84,19
andrei arlovski,6.25,240,77,40,3.54,0.44,2.68,0.59,0.53,0.36,0.79,0.3,0.61,46
austin arnett,6.0,145,72,28,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,0.73,22
akbarh arreola,5.83,155,71,36,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,0.68,34
matt arroyo,5.83,170,72,37,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,0.5,6
antonio arroyo,6.25,185,73,30,3.87,0.72,2.13,0.41,2.55,0.36,0.0,0.6,0.8,10
