Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Shamil Abdurakhimov,Heavyweight,6.25,235,76,38,20,5,0
Daichi Abe,Welterweight,5.92,170,71,27,6,2,0
Papy Abedi,Welterweight,5.92,185,74,41,9,3,0
Ricardo Abreu,Middleweight,5.92,185,73,35,5,3,0
Klidson Abreu,Light Heavyweight,6.0,205,74,26,15,3,0
Juan Adams,Heavyweight,6.42,265,80,27,5,2,0
Anthony Adams,Middleweight,6.0,185,77,31,7,1,0
Israel Adesanya,Middleweight,6.33,185,80,30,18,0,0
Jessica Aguilar,Women's Strawweight,5.25,115,63,37,20,8,0
Kevin Aguilar,Featherweight,5.58,145,73,31,17,2,0
Omari Akhmedov,Welterweight,6.0,185,73,32,19,4,1
Yoshihiro Akiyama,Welterweight,5.83,170,73,44,14,6,0
Rostem Akman,Welterweight,5.83,170,72,27,6,2,0
Mostapha Al-Turk,Heavyweight,6.17,245,77,46,6,6,0
Herdem Alacabek,Light Heavyweight,6.17,205,75,28,5,1,0
Heili Alateng,Women's Bantamweight,5.42,135,66,27,13,7,1
John Albert,Bantamweight,5.67,135,68,33,7,5,0
Junior Albini,Heavyweight,6.25,264,74,28,14,6,0
Alexandra Albu,Women's Strawweight,5.17,115,63,29,7,1,0
Iuri Alcantara,Bantamweight,5.75,135,71,39,35,10,0
Ildemar Alcantara,Welterweight,6.17,185,78,36,21,8,0
Irene Aldana,Women's Bantamweight,5.75,135,68,31,11,5,0
Hector Aldana,Welterweight,5.92,170,72,31,4,4,0
Jose Aldo,Featherweight,5.58,145,70,33,28,5,0
JJ Aldrich,Women's Strawweight,5.42,125,67,27,8,3,0
Jim Alers,Featherweight,5.75,145,71,33,13,3,0
John Alessio,Lightweight,5.83,155,72,40,34,16,0
Houston Alexander,Light Heavyweight,6.0,205,72,47,13,8,1
Marcio Alexandre Junior,Welterweight,6.0,185,75,30,17,4,0
Bill Algeo,Featherweight,6.0,145,73,30,12,3,0
Sultan Aliev,Welterweight,5.92,170,74,35,15,3,0
John Allan,Light Heavyweight,6.25,205,75,26,13,5,0
Arnold Allen,Featherweight,5.67,145,70,25,15,1,0
Brendan Allen,Middleweight,6.17,185,75,23,13,3,0
Benny Alloway,Welterweight,5.92,170,75,38,13,6,0
Ricardo Almeida,Welterweight,6.0,170,74,42,13,5,0
Thomas Almeida,Bantamweight,5.58,135,70,28,22,3,0
Ericka Almeida,Women's Strawweight,5.5,115,68,30,7,2,0
Eddie Alvarez,Lightweight,5.75,155,69,35,29,6,0
Jaime Alvarez,Flyweight,5.67,125,69,31,6,1,0
Joel Alvarez,Lightweight,6.25,155,77,25,16,2,0
Thiago Alves,Welterweight,5.75,170,70,36,28,14,0
Warlley Alves,Welterweight,5.92,170,72,28,14,3,0
Sam Alvey,Light Heavyweight,6.17,205,75,33,33,13,0
Adlan Amagov,Welterweight,6.17,170,76,32,13,2,1
Alen Amedovski,Middleweight,5.83,185,74,31,8,2,0
Makwan Amirkhani,Featherweight,5.83,145,72,30,15,3,0
Eryk Anders,Light Heavyweight,6.08,205,75,32,13,4,0
Corey Anderson,Light Heavyweight,6.25,205,79,30,13,4,0
Megan Anderson,Women's Featherweight,6.0,145,72,29,10,4,0
Jessica Andrade,Women's Strawweight,5.08,115,62,28,20,7,0
Viscardi Andrade,Welterweight,5.92,170,75,35,19,7,0
Dylan Andrews,Middleweight,6.08,185,73,39,18,8,0
Magomed Ankalaev,Light Heavyweight,6.25,205,75,27,11,1,0
Nina Ansaroff,Women's Strawweight,5.42,115,64,33,10,6,0
Gadzhimurad Antigulov,Light Heavyweight,5.92,205,70,32,20,6,0
Adam Antolin,Flyweight,5.42,125,63,37,12,3,0
Zu Anyanwu,Heavyweight,6.08,251,77,38,14,5,0
Shinsho Anzai,Welterweight,5.58,170,70,33,10,3,0
Josh Appelt,Heavyweight,5.83,255,73,36,15,6,0
Felipe Arantes,Bantamweight,5.67,135,73,31,18,10,1
Igor Araujo,Welterweight,6.08,170,77,38,25,8,0
Viviane Araujo,Women's Bantamweight,5.33,125,68,32,8,1,0
Julio Arce,Featherweight,5.58,145,70,29,16,3,0
Andrei Arlovski,Heavyweight,6.25,240,77,40,28,18,0
Austin Arnett,Featherweight,6.0,145,72,28,16,6,0
Akbarh Arreola,Lightweight,5.83,155,71,36,23,10,1
Matt Arroyo,Welterweight,5.83,170,72,37,3,3,0
