result,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
1,-0.16999999999999993,0,-3,1,0.4099999999999997,0.06,-0.8999999999999999,0.07000000000000006,1.86,0.18999999999999997,0.24,-0.39999999999999997,0.12,-12
1,-0.08000000000000007,0,0,-2,-0.48999999999999977,0.13,-1.1999999999999997,0.020000000000000018,1.43,0.010000000000000009,0.20999999999999996,-0.29999999999999993,0.18999999999999995,0
1,-0.16000000000000014,0,3,-1,1.4699999999999998,-0.010000000000000009,-0.4800000000000004,0.09999999999999998,-0.6499999999999999,0.06,0.020000000000000018,0.09999999999999987,0.17000000000000004,-20
0,-0.25,0,1,4,-1.6600000000000001,-0.04999999999999999,0.45999999999999996,-0.050000000000000044,-0.8400000000000001,-0.23,0.09999999999999998,-0.3,-0.08000000000000007,12
0,0.25,14,2,-7,0.5299999999999998,0.12,-0.9000000000000004,-0.050000000000000044,-0.55,-1.0,-0.5800000000000001,0.0,-0.13,-7
1,0.0,0,2,-5,0.010000000000000675,0.18000000000000005,-2.0999999999999996,-0.06000000000000005,6.18,0.21999999999999997,0.22999999999999998,0.0,0.38,-7
1,0.08000000000000007,0,6,-3,-0.4400000000000004,0.08000000000000002,-4.22,0.09000000000000008,0.9899999999999999,0.07999999999999999,-0.30000000000000004,-0.30000000000000004,0.040000000000000036,-1
0,-0.16999999999999993,0,-2,8,0.3200000000000003,-0.019999999999999962,1.9700000000000002,-0.06000000000000005,-0.08,-0.19,0.19999999999999996,-0.6,-0.07000000000000006,4
0,-0.25,0,-1,6,-2.1799999999999997,0.030000000000000027,-3.6899999999999995,0.039999999999999925,1.02,-0.010000000000000009,-0.33000000000000007,1.0,-0.17000000000000004,4
0,0.25,0,5,0,1.77,0.010000000000000009,0.3500000000000001,0.039999999999999925,-1.38,-0.44,0.35,0.0,0.020000000000000018,-7
1,0.0,0,1,0,-2.21,-0.07,-4.05,0.1399999999999999,0.28,0.28,-0.14,0.1,-0.24,23
1,0.25,0,3,-3,-1.9100000000000001,-0.14999999999999997,0.3700000000000001,0.08999999999999997,-1.85,-0.56,0.010000000000000009,-0.4,0.07999999999999996,-4
0,0.08999999999999986,0,3,1,0.9599999999999995,-0.06999999999999995,-0.8400000000000003,0.07,1.1500000000000001,0.13,0.33999999999999997,-0.4,0.050000000000000044,-22
0,-0.25,0,1,12,-1.8199999999999998,0.020000000000000018,2.3400000000000003,-0.010000000000000009,-0.76,-0.42,-0.18000000000000005,0.4,-0.18000000000000005,10
1,0.16000000000000014,0,4,3,-0.9099999999999997,0.15999999999999998,-0.9099999999999997,0.07999999999999996,-1.0799999999999996,-0.020000000000000018,0.23999999999999994,0.10000000000000009,0.010000000000000009,-4
0,-0.08000000000000007,0,-1,4,-0.04999999999999982,0.06,0.27,0.17000000000000004,-2.06,0.18,-0.09999999999999998,-0.2,0.039999999999999925,-7
1,-0.5800000000000001,0,-3,4,1.92,0.13,1.2200000000000002,0.05999999999999994,-0.39,-0.15000000000000002,-0.25,-1.0,-0.20000000000000007,0
0,-0.25,0,-2,0,-2.2,-0.15000000000000002,1.37,-0.040000000000000036,0.0,0.24000000000000002,0.27,0.0,-0.06999999999999995,-25
0,0.0,0,5,1,-2.05,-0.14999999999999997,0.11999999999999966,-0.07,0.10000000000000009,-0.030000000000000027,-0.19,0.7,-0.010000000000000009,13
0,-0.16999999999999993,0,-5,-10,1.06,0.030000000000000027,0.029999999999999805,-0.06999999999999995,-0.3900000000000001,0.30000000000000004,-0.30999999999999994,0.29999999999999993,-0.06000000000000005,9
0,-0.33000000000000007,-15,-7,5,-4.199999999999999,-0.11000000000000004,-3.5500000000000003,0.06999999999999995,-0.36,-0.12,0.04999999999999993,0.0,-0.020000000000000018,-10
1,0.16999999999999993,-10,1,5,-3.2899999999999996,-0.13,3.2899999999999996,-0.13,-6.44,-0.6,0.4,4.3,0.25,-1
0,0.0,0,1,-2,-0.3500000000000001,-0.08000000000000002,0.010000000000000231,0.14999999999999997,-0.77,-0.010000000000000009,0.029999999999999916,-0.2,0.10000000000000009,2
1,0.25,0,3,0,1.0299999999999998,-0.27999999999999997,-1.35,0.13000000000000006,-3.5,-1.0,-0.5,0.0,0.18000000000000005,1
1,-0.08000000000000007,0,-7,7,-0.27,0.030000000000000027,0.09999999999999964,0.10999999999999999,-1.3800000000000001,-0.02999999999999997,-0.13,-0.20000000000000007,-0.06000000000000005,19
0,0.25,0,7,-2,-1.4200000000000002,-0.06,-0.6299999999999999,-0.020000000000000018,3.08,0.32,-0.09999999999999998,0.30000000000000004,-0.14,0
0,0.5,0,4,1,-1.4599999999999997,-0.04999999999999999,-3.62,-0.08999999999999997,-0.17999999999999994,0.4,0.5,-0.20000000000000007,-0.17000000000000004,6
1,0.08999999999999986,0,3,-4,3.1200000000000006,0.18000000000000005,0.6899999999999995,0.030000000000000027,-2.2300000000000004,0.0,0.64,0.30000000000000004,0.039999999999999925,-12
1,0.16000000000000014,0,6,-5,-0.29000000000000004,0.0,-0.08000000000000007,0.050000000000000044,-0.79,0.08999999999999997,0.13999999999999996,1.4999999999999998,0.06000000000000005,-7
1,-0.33000000000000007,0,-1,5,-0.4299999999999997,-0.019999999999999962,-0.77,0.029999999999999916,0.9199999999999999,-0.09999999999999998,0.38,0.7,-0.020000000000000018,-1
1,0.16999999999999993,0,-1,-10,0.75,0.16000000000000003,1.5700000000000003,-0.10999999999999999,0.29000000000000004,0.36000000000000004,0.030000000000000027,1.7,0.32999999999999996,0
1,0.08000000000000007,0,4,7,0.03000000000000025,0.09000000000000002,-2.6900000000000004,0.23999999999999994,1.62,0.5,0.75,0.0,-0.07999999999999996,20
0,0.0,0,1,6,1.1,-0.020000000000000018,-0.8200000000000003,0.06000000000000005,-1.79,-0.4,-0.45999999999999996,0.4,0.06000000000000005,-12
